ComplaintID,Timestamp,Category,ComplaintText,Sentiment,CleanedText,VADER_Sentiment,VADER_Compound
212,2025-05-23 12:53:45,Service,Your business hours are too short. I can't call for support after work.,Negative,business hour short cant call support work,Negative,-0.3089
213,2025-05-24 08:40:00,Delivery,Received my package and it was in perfect condition.,Positive,received package perfect condition,Positive,0.5719
214,2025-05-25 14:20:30,Billing,I was charged a cancellation fee even though I cancelled during the free trial.,Negative,charged cancellation fee even though cancelled free trial,Positive,0.128
215,2025-05-26 17:45:00,Product,The product is full of bugs. It feels like it wasn't tested at all before release.,Negative,product full bug feel like wasnt tested release,Positive,0.3612
216,2025-05-27 09:50:15,Service,The agent was condescending and treated me like I was stupid.,Negative,agent condescending treated like stupid,Negative,-0.2263
217,2025-05-28 13:35:00,Delivery,The delivery driver marked it as delivered but it's nowhere to be found.,Negative,delivery driver marked delivered nowhere found,Neutral,0.0
218,2025-05-29 18:20:55,Product,Amazing piece of technology. It just works seamlessly.,Positive,amazing piece technology work seamlessly,Positive,0.5859
219,2025-05-30 21:30:00,Billing,I'd like to dispute a charge on my account.,Neutral,id like dispute charge account,Negative,-0.0516
220,2025-05-31 10:45:30,Service,I've been a loyal customer for years and this is how you treat me? Appalling.,Negative,ive loyal customer year treat appalling,Positive,0.5106
221,2025-06-01 15:40:00,Product,The product's description is intentionally misleading.,Negative,product description intentionally misleading,Negative,-0.4019
222,2025-06-02 11:25:40,Delivery,"I received a notification that my package was delayed, with no new delivery date.",Negative,received notification package delayed new delivery date,Negative,-0.2263
223,2025-06-03 16:50:00,Product,The item I received is a counterfeit. This is illegal.,Negative,item received counterfeit illegal,Negative,-0.5574
224,2025-06-04 19:40:10,Service,The '24/7 support' is a lie. It's just a bot outside of business hours.,Negative,support lie bot outside business hour,Positive,0.4019
225,2025-06-05 10:20:00,Billing,The refund process was surprisingly quick and painless.,Positive,refund process surprisingly quick painless,Positive,0.5267
226,2025-06-06 14:45:00,Product,The chair is uncomfortable and gives me back pain.,Negative,chair uncomfortable give back pain,Negative,-0.7096
227,2025-06-07 12:20:15,Delivery,"My address was correct, but the driver delivered it to a house down the street.",Negative,address correct driver delivered house street,Neutral,0.0
228,2025-06-08 09:30:00,Service,The mobile app is poorly designed and constantly freezes.,Negative,mobile app poorly designed constantly freeze,Positive,0.0516
229,2025-06-09 17:55:00,Product,"It works, but it feels like it could break at any moment.",Neutral,work feel like could break moment,Positive,0.3612
230,2025-06-10 20:35:30,Billing,This company charged me for a service I never signed up for.,Negative,company charged service never signed,Negative,-0.2023
231,2025-06-11 11:25:00,Delivery,"The item was supposed to be a surprise gift, but it arrived in a box with the product name all over it.",Negative,item supposed surprise gift arrived box product name,Positive,0.6124
232,2025-06-12 13:40:00,Product,Missing screws and bolts. Now I have to go to the hardware store to finish assembly.,Negative,missing screw bolt go hardware store finish assembly,Negative,-0.3818
233,2025-06-13 16:20:45,Service,"Every time I call, I get transferred multiple times and have to explain my issue from the beginning.",Negative,every time call get transferred multiple time explain issue beginning,Neutral,0.0
234,2025-06-14 18:30:00,Product,The waterproof coating started peeling off after one week.,Negative,waterproof coating started peeling one week,Neutral,0.0
235,2025-06-15 10:50:00,Billing,I am inquiring about a charge from your company on my credit card statement.,Neutral,inquiring charge company credit card statement,Positive,0.3818
236,2025-06-16 15:20:00,Delivery,The delivery was on time and the product was handled with care.,Positive,delivery time product handled care,Positive,0.4939
237,2025-06-17 09:40:20,Product,This thing consumes batteries like crazy. It's not energy efficient at all.,Negative,thing consumes battery like crazy energy efficient,Positive,0.6124
238,2025-06-18 12:45:00,Service,The support team is not empowered to do anything. They just apologize and can't fix the problem.,Negative,support team empowered anything apologize cant fix problem,Positive,0.6551
239,2025-06-19 14:35:55,Product,The app connected to this product is a privacy nightmare. It asks for too much data.,Negative,app connected product privacy nightmare asks much data,Neutral,0.0
240,2025-06-20 17:50:00,Billing,The promotional offer was not honored at checkout.,Negative,promotional offer honored checkout,Positive,0.5859
241,2025-06-21 11:20:00,Product,The build quality is solid and it feels like it will last a long time. Very satisfied.,Positive,build quality solid feel like last long time satisfied,Positive,0.7096
242,2025-06-22 10:30:10,Delivery,The shipping costs more than the item itself. Ridiculous.,Negative,shipping cost item ridiculous,Negative,-0.3612
243,2025-06-23 13:45:00,Service,Your website is a mess. It's impossible to find information.,Negative,website mess impossible find information,Negative,-0.3612
244,2025-06-24 16:40:30,Product,"The real product is a cheap, plastic version of what was shown in the pictures.",Negative,real product cheap plastic version shown picture,Neutral,0.0
245,2025-06-25 19:20:00,Billing,My refund has been pending for over a month now. Where is my money?,Negative,refund pending month money,Neutral,0.0
246,2025-06-26 09:40:00,Product,The product arrived broken in the box.,Negative,product arrived broken box,Negative,-0.4767
247,2025-06-27 11:40:00,Service,Your company has the worst customer service I have ever encountered.,Negative,company worst customer service ever encountered,Negative,-0.6249
248,2025-06-28 15:25:15,Delivery,The driver was polite and followed my delivery instructions perfectly.,Positive,driver polite followed delivery instruction perfectly,Positive,0.6369
249,2025-06-29 18:50:00,General Inquiry,What are the dimensions of the packaging?,Neutral,dimension packaging,Neutral,0.0
250,2025-06-30 10:20:00,Product,"It's not a bad product, but it's definitely overpriced for what it is.",Negative,bad product definitely overpriced,Negative,-0.2023
251,2025-07-01 14:50:00,Billing,"I was charged an international transaction fee, but your company is based in my country.",Negative,charged international transaction fee company based country,Negative,-0.2023
252,2025-07-02 17:30:25,Service,Your support agents need to be trained on the products they are supporting.,Negative,support agent need trained product supporting,Positive,0.6808
253,2025-07-03 09:55:00,Product,The plastic used has a very strong and unpleasant chemical odor.,Negative,plastic used strong unpleasant chemical odor,Positive,0.0516
254,2025-07-04 12:20:00,Delivery,"The package was left outside my apartment building, not at my door. Anyone could have taken it.",Negative,package left outside apartment building door anyone could taken,Neutral,0.0
255,2025-07-05 16:55:00,Product,The battery life is excellent and it charges very quickly.,Positive,battery life excellent charge quickly,Positive,0.5719
256,2025-07-06 19:20:45,Service,"The agent, Sarah, was extremely professional and solved my issue right away.",Positive,agent sarah extremely professional solved issue right away,Positive,0.3353
257,2025-07-07 11:40:00,Billing,I was overcharged. The item was on sale but I was charged the full price.,Negative,overcharged item sale charged full price,Negative,-0.2023
258,2025-07-08 13:40:10,Product,The product I received is clearly a return that was sent back out. The box was re-taped.,Negative,product received clearly return sent back box retaped,Positive,0.4019
259,2025-07-09 15:20:00,General Inquiry,Does this model come in black?,Neutral,model come black,Neutral,0.0
260,2025-07-10 10:50:00,Delivery,My package has been lost in transit and no one seems to be able to help me.,Negative,package lost transit one seems able help,Positive,0.1027
261,2025-07-11 09:20:00,Product,The 'quick-start' guide is anything but. The setup is a nightmare.,Negative,quickstart guide anything setup nightmare,Neutral,0.0
262,2025-07-12 18:35:00,Service,I hate having to go through a bot to get to a person. Just give me a phone number.,Negative,hate go bot get person give phone number,Negative,-0.5267
263,2025-07-13 14:25:00,Billing,The price changed in my cart between when I added it and when I went to checkout.,Negative,price changed cart added went checkout,Neutral,0.0
264,2025-07-14 11:50:00,Product,The stitching on the seams is already coming apart after two wears.,Negative,stitching seam already coming apart two wear,Neutral,0.0
265,2025-07-15 16:45:30,Delivery,"I was home all day, but the courier said they attempted delivery and no one was there. They lied.",Negative,home day courier said attempted delivery one lied,Negative,-0.3818
266,2025-07-16 19:20:00,Product,This is a fantastic gadget. I use it every day.,Positive,fantastic gadget use every day,Positive,0.5574
267,2025-07-17 10:30:10,Service,Your return process is designed to make people give up. It's so frustrating.,Negative,return process designed make people give frustrating,Negative,-0.4404
268,2025-07-18 12:40:00,Billing,My subscription renewed even though I turned off auto-renewal.,Negative,subscription renewed even though turned autorenewal,Neutral,0.0
269,2025-07-19 15:20:00,Product,The item I received is a cheap imitation of the real product.,Negative,item received cheap imitation real product,Neutral,0.0
270,2025-07-20 17:50:00,General Inquiry,Is it possible to track my order?,Neutral,possible track order,Neutral,0.0
271,2025-07-21 09:55:00,Delivery,The delivery window of '8am to 8pm' is completely unreasonable.,Negative,delivery window pm completely unreasonable,Neutral,0.0
272,2025-07-22 11:50:50,Product,The device constantly disconnects from the Wi-Fi.,Negative,device constantly disconnect wifi,Neutral,0.0
273,2025-07-23 14:40:00,Service,The information on your website is outdated and incorrect.,Negative,information website outdated incorrect,Neutral,0.0
274,2025-07-24 18:20:00,Product,"This is my second time buying this. The first one broke, and now the replacement has broken too.",Negative,second time buying first one broke replacement broken,Negative,-0.7096
275,2025-07-25 10:25:00,Billing,The company charged my card for a higher amount than was authorized.,Negative,company charged card higher amount authorized,Negative,-0.2023
276,2025-07-26 13:20:00,Product,"It does the job, but it is very noisy.",Negative,job noisy,Negative,-0.1779
277,2025-07-27 16:35:00,Delivery,The delivery driver was careless and damaged my gate.,Negative,delivery driver careless damaged gate,Negative,-0.6597
278,2025-07-28 19:40:00,Service,I was promised a follow-up email but it never came.,Negative,promised followup email never came,Positive,0.3612
279,2025-07-29 11:30:00,Product,The material this is made from gives me a rash.,Negative,material made give rash,Negative,-0.4019
280,2025-07-30 09:45:00,Billing,Your cancellation process is a maze designed to keep customers subscribed.,Negative,cancellation process maze designed keep customer subscribed,Neutral,0.0
281,2025-07-31 12:50:00,Product,The advertising for this product is completely dishonest.,Negative,advertising product completely dishonest,Negative,-0.6115
282,2025-08-01 15:20:00,Delivery,The package was delivered to the wrong apartment.,Negative,package delivered wrong apartment,Negative,-0.4767
283,2025-08-02 18:40:00,Service,The support team was very understanding and resolved my complaint.,Positive,support team understanding resolved complaint,Positive,0.296
284,2025-08-03 10:40:00,Product,"The product is fine, but the packaging was excessive and wasteful.",Neutral,product fine packaging excessive wasteful,Positive,0.2023
285,2025-08-04 14:20:00,Billing,"The refund I received did not include the shipping costs, which it should have.",Negative,refund received include shipping cost,Neutral,0.0
286,2025-08-05 17:50:00,Product,The item stopped working one day after the return period ended.,Negative,item stopped working one day return period ended,Negative,-0.2263
287,2025-08-06 09:20:00,General Inquiry,Can you tell me if this is compatible with my device?,Neutral,tell compatible device,Neutral,0.0
288,2025-08-07 11:45:00,Service,The support agent was not knowledgeable and had to keep asking a supervisor.,Negative,support agent knowledgeable keep asking supervisor,Positive,0.4019
289,2025-08-08 16:20:00,Delivery,The item was shipped with no padding and arrived broken.,Negative,item shipped padding arrived broken,Negative,-0.4767
290,2025-08-09 19:30:00,Product,"The software is full of ads, which was not mentioned anywhere.",Negative,software full ad mentioned anywhere,Neutral,0.0
291,2025-08-10 12:50:00,Billing,This company has the shadiest billing practices I've ever seen.,Negative,company shadiest billing practice ive ever seen,Neutral,0.0
292,2025-08-11 15:35:00,Product,The product has a major defect that makes it dangerous to use.,Negative,product major defect make dangerous use,Negative,-0.6705
293,2025-08-12 10:20:00,Service,Your team was very helpful. My problem is solved.,Positive,team helpful problem solved,Positive,0.296
294,2025-08-13 13:40:00,Delivery,The courier left a 'sorry we missed you' note without even ringing the doorbell.,Negative,courier left sorry missed note without even ringing doorbell,Negative,-0.3612
295,2025-08-14 17:40:00,Product,The product's performance degraded significantly after just a month of use.,Negative,product performance degraded significantly month use,Negative,-0.4215
296,2025-08-15 09:50:00,Billing,I was charged for services I did not receive.,Negative,charged service receive,Negative,-0.2023
297,2025-08-16 11:20:00,Product,An absolutely amazing product. I recommend it to everyone.,Positive,absolutely amazing product recommend everyone,Positive,0.7818
298,2025-08-17 14:55:00,Service,The company does not stand behind its warranty.,Negative,company stand behind warranty,Neutral,0.0
299,2025-08-18 18:20:00,Delivery,The delivery fee is exorbitant.,Negative,delivery fee exorbitant,Neutral,0.0
300,2025-08-19 10:40:00,Product,"The product is fine. Nothing more, nothing less.",Neutral,product fine nothing nothing less,Positive,0.2023
301,2025-08-20 14:30:15,Billing,Your invoicing is a mess. I can't figure out what I'm paying for.,Negative,invoicing mess cant figure im paying,Negative,-0.3612
302,2025-08-20 18:45:10,Service,"I have been trying to reach someone for a week. No replies to email, no one answers the phone.",Negative,trying reach someone week reply email one answer phone,Neutral,0.0258
303,2025-08-21 09:12:05,Product,This is the second item I've received that was defective right out of the box.,Negative,second item ive received defective right box,Negative,-0.4404
304,2025-08-21 11:20:00,Delivery,The driver threw my package over the fence.,Negative,driver threw package fence,Neutral,0.0
305,2025-08-22 15:05:30,Product,I'm very impressed with the build quality and the attention to detail.,Positive,im impressed build quality attention detail,Positive,0.4767
306,2025-08-23 13:00:45,Service,The chat support agent was friendly and fixed my problem instantly.,Positive,chat support agent friendly fixed problem instantly,Positive,0.4939
307,2025-08-24 10:55:00,Billing,I'm still waiting for a refund that was promised to me three weeks ago.,Negative,im still waiting refund promised three week ago,Positive,0.3612
308,2025-08-25 19:21:50,Product,The advertised 'long battery life' is a joke. It lasts maybe 3 hours.,Negative,advertised long battery life joke last maybe hour,Positive,0.296
309,2025-08-26 11:10:25,Delivery,You shipped the wrong color. Now I have to go through the hassle of a return.,Negative,shipped wrong color go hassle return,Negative,-0.4767
310,2025-08-27 16:40:00,General Inquiry,Could you provide the tracking number for my order?,Neutral,could provide tracking number order,Positive,0.0772
311,2025-08-28 20:05:18,Service,Your website's password reset feature is broken.,Negative,website password reset feature broken,Negative,-0.4767
312,2025-08-29 12:33:45,Product,The product feels solid and well-made. I expect it to last.,Positive,product feel solid wellmade expect last,Positive,0.1531
313,2025-08-30 08:50:00,Billing,"The price online was listed as $20, but I was charged $30.",Negative,price online listed charged,Negative,-0.2023
314,2025-08-31 14:00:30,Delivery,The delivery arrived much faster than I anticipated. Great service!,Positive,delivery arrived much faster anticipated great service,Positive,0.6249
315,2025-09-01 17:25:00,Product,The instructions are impossible to understand. It seems they were poorly machine-translated.,Negative,instruction impossible understand seems poorly machinetranslated,Neutral,0.0
316,2025-09-02 09:30:15,Service,The agent was extremely rude and unhelpful. I am filing a formal complaint.,Negative,agent extremely rude unhelpful filing formal complaint,Negative,-0.6697
317,2025-09-03 13:15:00,Product,The item I received was damaged during shipping due to poor packaging.,Negative,item received damaged shipping due poor packaging,Negative,-0.7184
318,2025-09-04 18:00:55,Billing,Why was my account suspended? I paid my bill on time.,Negative,account suspended paid bill time,Negative,-0.4767
319,2025-09-05 21:10:00,General Inquiry,Is this product available in a larger size?,Neutral,product available larger size,Neutral,0.0
320,2025-09-06 10:45:30,Service,I am so frustrated with your lack of support. It's like you don't want customers.,Negative,frustrated lack support like dont want customer,Negative,-0.1833
321,2025-09-07 15:20:00,Product,The product is flimsy and broke the first time I used it.,Negative,product flimsy broke first time used,Negative,-0.4215
322,2025-09-08 11:05:40,Delivery,My package has been 'out for delivery' for two days now.,Negative,package delivery two day,Neutral,0.0
323,2025-09-09 16:50:00,Product,The quality of this product has gone down significantly since the last time I bought it.,Negative,quality product gone significantly since last time bought,Neutral,0.0
324,2025-09-10 19:30:10,Service,The returns portal on your website is not working.,Negative,return portal website working,Neutral,0.0
325,2025-09-11 10:00:00,Billing,The charge on my card is from your company but I don't recognize the amount.,Negative,charge card company dont recognize amount,Neutral,0.0
326,2025-09-12 14:45:00,Product,This has to be the best purchase I've made all year. Highly recommend.,Positive,best purchase ive made year highly recommend,Positive,0.7902
327,2025-09-13 12:00:15,Delivery,The courier left the package in a public lobby instead of bringing it to my apartment door.,Negative,courier left package public lobby instead bringing apartment door,Neutral,0.0258
328,2025-09-14 09:10:00,Service,"Your app is terrible. It's slow, buggy, and drains my phone battery.",Negative,app terrible slow buggy drain phone battery,Negative,-0.4767
329,2025-09-15 17:55:00,Product,"It's an adequate product. It functions as intended, but it's not impressive.",Neutral,adequate product function intended impressive,Positive,0.6369
330,2025-09-16 20:25:30,Billing,I was charged a subscription fee for a service I cancelled months ago.,Negative,charged subscription fee service cancelled month ago,Negative,-0.4215
331,2025-09-17 11:35:00,Delivery,The delivery driver forged my signature and left the package on the street.,Negative,delivery driver forged signature left package street,Neutral,0.0
332,2025-09-18 13:20:00,Product,The product arrived with missing parts. I can't even assemble it.,Negative,product arrived missing part cant even assemble,Negative,-0.296
333,2025-09-19 16:00:45,Service,I'm tired of being transferred from one department to another. Nobody can help me.,Negative,im tired transferred one department another nobody help,Negative,-0.0516
334,2025-09-20 18:10:00,Product,The 'water-resistant' watch was ruined after I washed my hands.,Negative,waterresistant watch ruined washed hand,Neutral,0.0258
335,2025-09-21 10:50:00,Billing,Can I get a detailed breakdown of the charges on invoice #78901?,Neutral,get detailed breakdown charge invoice,Neutral,0.0
336,2025-09-22 15:00:00,Delivery,The package was delivered on time and the contents were secure.,Positive,package delivered time content secure,Positive,0.34
337,2025-09-23 09:40:20,Product,"The device makes a loud, high-pitched noise whenever it's on.",Negative,device make loud highpitched noise whenever,Neutral,0.0
338,2025-09-24 12:25:00,Service,Your support agents are friendly but they seem to lack the technical knowledge to solve problems.,Negative,support agent friendly seem lack technical knowledge solve problem,Positive,0.4019
339,2025-09-25 14:15:55,Product,The app that comes with this product is poorly designed and barely functional.,Negative,app come product poorly designed barely functional,Neutral,0.0
340,2025-09-26 17:30:00,Billing,The discount that was supposed to be applied to my order is missing.,Negative,discount supposed applied order missing,Negative,-0.296
341,2025-09-27 11:00:00,Product,The cream gave me an allergic reaction. The 'hypoallergenic' claim is false.,Negative,cream gave allergic reaction hypoallergenic claim false,Negative,-0.296
342,2025-09-28 10:10:10,Delivery,The shipping fee is almost as much as the product itself. That's ridiculous.,Negative,shipping fee almost much product thats ridiculous,Negative,-0.3612
343,2025-09-29 13:45:00,Service,Your online help documents are out of date and refer to features that no longer exist.,Negative,online help document date refer feature longer exist,Positive,0.4019
344,2025-09-30 16:20:30,Product,I'm disappointed. The product I received looks much cheaper than it did in the photos.,Negative,im disappointed product received look much cheaper photo,Negative,-0.4767
345,2025-10-01 19:00:00,Billing,I've been waiting for my refund for over a month. This is unacceptable.,Negative,ive waiting refund month unacceptable,Negative,-0.4588
346,2025-10-02 09:20:00,Product,The item arrived with a deep gouge on the surface.,Negative,item arrived deep gouge surface,Neutral,0.0
347,2025-10-03 11:40:00,Service,Your company's policies are incredibly inflexible and not at all customer-centric.,Negative,company policy incredibly inflexible customercentric,Neutral,0.0
348,2025-10-04 15:05:15,Delivery,"The driver was polite, professional, and even carried the heavy box inside for me.",Positive,driver polite professional even carried heavy box inside,Neutral,0.0
349,2025-10-05 18:30:00,General Inquiry,What is the warranty on this appliance?,Neutral,warranty appliance,Neutral,0.0
350,2025-10-06 10:00:00,Product,The sound quality is tinny and weak. Not what I expected at all.,Negative,sound quality tinny weak expected,Negative,-0.4404
351,2025-10-07 14:50:00,Billing,The subscription automatically renewed without any warning or notification.,Negative,subscription automatically renewed without warning notification,Positive,0.2584
352,2025-10-08 17:10:25,Service,I have sent three emails and have not received a single human response.,Negative,sent three email received single human response,Neutral,0.0
353,2025-10-09 09:55:00,Product,The sizing is completely off. A 'Large' fits like a 'Small'.,Negative,sizing completely large fit like small,Positive,0.6749
354,2025-10-10 12:00:00,Delivery,The package was delivered to my office on a Saturday when no one was there.,Negative,package delivered office saturday one,Neutral,0.0
355,2025-10-11 16:35:00,Product,The latest update broke the core functionality of the app. I had to uninstall it.,Negative,latest update broke core functionality app uninstall,Negative,-0.4215
356,2025-10-12 19:00:45,Service,The hold music is so loud and repetitive it gave me a headache.,Negative,hold music loud repetitive gave headache,Negative,-0.25
357,2025-10-13 11:20:00,Billing,The credit that was supposed to be on my account is not there.,Negative,credit supposed account,Positive,0.3818
358,2025-10-14 13:40:10,Product,"The product is good, but the box was crushed during shipping.",Negative,product good box crushed shipping,Neutral,0.0258
359,2025-10-15 15:00:00,General Inquiry,Is this product compatible with older models?,Neutral,product compatible older model,Neutral,0.0
360,2025-10-16 10:30:00,Delivery,My pizza arrived cold and the toppings had all slid to one side.,Negative,pizza arrived cold topping slid one side,Neutral,0.0
361,2025-10-17 09:00:00,Product,The 'rechargeable' battery no longer holds a charge after two months.,Negative,rechargeable battery longer hold charge two month,Neutral,0.0
362,2025-10-18 18:15:00,Service,It is impossible to get a human on the phone. Your automated system is a trap.,Negative,impossible get human phone automated system trap,Negative,-0.3182
363,2025-10-19 14:05:00,Billing,The price at the cash register was higher than the tag on the shelf. This is bait and switch.,Negative,price cash register higher tag shelf bait switch,Neutral,0.0
364,2025-10-20 11:50:00,Product,"The fabric is so thin, it's practically see-through.",Negative,fabric thin practically seethrough,Neutral,0.0
365,2025-10-21 16:25:30,Delivery,"The courier reported that they couldn't find my address, which is absurd. It's clearly marked.",Negative,courier reported couldnt find address absurd clearly marked,Positive,0.4019
366,2025-10-22 19:00:00,Product,I am in love with this product! It has simplified my life so much.,Positive,love product simplified life much,Positive,0.6369
367,2025-10-23 10:10:10,Service,Your return policy is deliberately confusing and difficult. I will not be shopping here again.,Negative,return policy deliberately confusing difficult shopping,Negative,-0.5267
368,2025-10-24 12:40:00,Billing,Why was there a sudden price hike for my monthly plan? I was not notified.,Negative,sudden price hike monthly plan notified,Neutral,0.0
369,2025-10-25 15:00:00,Product,"I was sent a used, dirty item instead of a new one. Disgusting.",Negative,sent used dirty item instead new one disgusting,Negative,-0.743
370,2025-10-26 17:30:00,General Inquiry,I am checking to see if the red version of this item is in stock.,Neutral,checking see red version item stock,Neutral,0.0
371,2025-10-27 09:45:00,Delivery,A 9-hour delivery window is not acceptable. People have jobs.,Negative,hour delivery window acceptable people job,Positive,0.3182
372,2025-10-28 11:30:50,Product,The device overheats to a dangerous level. It's a fire hazard.,Negative,device overheats dangerous level fire hazard,Negative,-0.6705
373,2025-10-29 14:20:00,Service,The troubleshooting steps on your website are wrong and don't work.,Negative,troubleshooting step website wrong dont work,Negative,-0.34
374,2025-10-30 18:00:00,Product,This is not the item I ordered. The model number is completely different.,Negative,item ordered model number completely different,Positive,0.0772
375,2025-10-31 10:05:00,Billing,"My credit card was declined by your system, but it works fine everywhere else.",Negative,credit card declined system work fine everywhere else,Positive,0.5267
376,2025-11-01 13:00:00,Product,It's a good product for the money. No complaints.,Positive,good product money complaint,Positive,0.1779
377,2025-11-02 16:15:00,Delivery,"The driver left a massive, heavy box blocking my driveway.",Negative,driver left massive heavy box blocking driveway,Negative,-0.3818
378,2025-11-03 19:40:00,Service,The online chat agent disconnected from me in the middle of our conversation.,Negative,online chat agent disconnected middle conversation,Neutral,0.0
379,2025-11-04 11:10:00,Product,"The material is cheap, scratchy, and uncomfortable.",Negative,material cheap scratchy uncomfortable,Negative,-0.3818
380,2025-11-05 09:25:00,Billing,The process to cancel a subscription is intentionally difficult.,Negative,process cancel subscription intentionally difficult,Negative,-0.5423
381,2025-11-06 12:50:00,Product,The product lacks several key features that were advertised on your website.,Negative,product lack several key feature advertised website,Negative,-0.3182
382,2025-11-07 15:00:00,Delivery,My package has been lost by the carrier and your company is doing nothing to help.,Negative,package lost carrier company nothing help,Negative,-0.5511
383,2025-11-08 18:20:00,Service,I am so pleased with the fast and helpful service from your team.,Positive,pleased fast helpful service team,Positive,0.6908
384,2025-11-09 10:40:00,Product,"The product has a strange, persistent chemical odor that won't go away.",Negative,product strange persistent chemical odor wont go away,Negative,-0.2023
385,2025-11-10 14:00:00,Billing,The refund I got was for the wrong amount. You shorted me $20.,Negative,refund got wrong amount shorted,Negative,-0.4767
386,2025-11-11 17:30:00,Product,"For the price, this product is very underwhelming.",Negative,price product underwhelming,Neutral,0.0
387,2025-11-12 09:00:00,General Inquiry,What is the exact height and width of this bookshelf?,Neutral,exact height width bookshelf,Neutral,0.0
388,2025-11-13 11:45:00,Service,I had to send five emails just to get a single response.,Negative,send five email get single response,Neutral,0.0
389,2025-11-14 16:00:00,Delivery,The item was packaged very securely. I appreciate the care taken.,Positive,item packaged securely appreciate care taken,Positive,0.8074
390,2025-11-15 19:10:00,Product,The user interface is not user-friendly at all. It's confusing.,Negative,user interface userfriendly confusing,Negative,-0.2263
391,2025-11-16 12:30:00,Billing,You started charging me for a free trial without my permission. That's fraud.,Negative,started charging free trial without permission thats fraud,Positive,0.7485
392,2025-11-17 15:15:00,Product,The product fell apart after I used it twice. Absolute junk.,Negative,product fell apart used twice absolute junk,Neutral,0.0
393,2025-11-18 10:00:00,Service,The customer service representative literally hung up on me.,Negative,customer service representative literally hung,Neutral,0.0
394,2025-11-19 13:20:00,Delivery,Why do you only offer one shipping company? They are terrible in my area.,Negative,offer one shipping company terrible area,Negative,-0.4767
395,2025-11-20 17:40:00,Product,"After the latest update, a feature I paid for no longer works.",Negative,latest update feature paid longer work,Neutral,0.0
396,2025-11-21 09:50:00,Billing,Your invoices are difficult to read and lack important details.,Negative,invoice difficult read lack important detail,Negative,-0.4588
397,2025-11-22 11:00:00,Product,The person I gave this to as a gift absolutely adored it.,Positive,person gave gift absolutely adored,Positive,0.7178
398,2025-11-23 14:35:00,Service,Why is there no phone number for support? I need to talk to someone.,Negative,phone number support need talk someone,Positive,0.4588
399,2025-11-24 18:00:00,Delivery,My order was just cancelled with no reason given.,Negative,order cancelled reason given,Negative,-0.25
400,2025-11-25 10:20:00,Product,"The item is serviceable, but not remarkable in any way.",Neutral,item serviceable remarkable way,Positive,0.5574
401,2025-11-26 13:10:15,Product,The so-called 'stainless steel' started showing rust spots within a week.,Negative,socalled stainless steel started showing rust spot within week,Neutral,0.0
402,2025-11-27 16:55:10,Service,The self-help section on your website is completely useless.,Negative,selfhelp section website completely useless,Negative,-0.4754
403,2025-11-28 09:00:05,Delivery,The delivery driver was aggressive and rude when I asked him a question.,Negative,delivery driver aggressive rude asked question,Negative,-0.5574
404,2025-11-29 11:30:00,Billing,I have two subscriptions but I am being billed for three.,Negative,two subscription billed three,Neutral,0.0
405,2025-11-30 15:15:30,Product,This is a beautifully designed product. I'm very happy with it.,Positive,beautifully designed product im happy,Positive,0.8126
406,2025-12-01 13:20:45,Service,"The support team was fast, efficient, and friendly. A+ service.",Positive,support team fast efficient friendly service,Positive,0.8271
407,2025-12-02 10:45:00,Delivery,My package was left in the rain and the contents are ruined.,Negative,package left rain content ruined,Negative,-0.4767
408,2025-12-03 19:11:50,Product,The sizing is a joke. An 'XL' is more like a 'M'. Your chart is wrong.,Negative,sizing joke xl like chart wrong,Positive,0.1531
409,2025-12-04 11:00:25,Billing,The coupon code said 20% off but it only took 10% off at checkout.,Negative,coupon code said took checkout,Neutral,0.0
410,2025-12-05 16:30:00,General Inquiry,Is this product compatible with the new operating system?,Neutral,product compatible new operating system,Neutral,0.0
411,2025-12-06 20:15:18,Product,"The phone case is too big for my phone, it just slips out.",Negative,phone case big phone slip,Neutral,0.0
412,2025-12-07 12:43:45,Service,Your website checkout page failed and now my cart is empty.,Negative,website checkout page failed cart empty,Negative,-0.6249
413,2025-12-08 08:30:00,Delivery,The delivery was so fast! It came two days earlier than expected.,Positive,delivery fast came two day earlier expected,Neutral,0.0
414,2025-12-09 14:10:30,Billing,I cancelled my membership last year and you are still charging my card.,Negative,cancelled membership last year still charging card,Negative,-0.25
415,2025-12-10 17:35:00,Product,"The assembly instructions consist of a single, blurry diagram.",Negative,assembly instruction consist single blurry diagram,Negative,-0.1027
416,2025-12-11 09:40:15,Service,The agent was just reading from a script and couldn't answer any specific questions.,Negative,agent reading script couldnt answer specific question,Neutral,0.0
417,2025-12-12 13:25:00,Delivery,The tracking number you provided does not exist in the carrier's system.,Negative,tracking number provided exist carrier system,Positive,0.0772
418,2025-12-13 18:10:55,Product,The quality of this item is exceptional. It far exceeded my hopes.,Positive,quality item exceptional far exceeded hope,Positive,0.4404
419,2025-12-14 21:20:00,Billing,I have a question about a charge from 'Service Inc.' on my statement.,Neutral,question charge service inc statement,Neutral,0.0
420,2025-12-15 10:55:30,Service,Five business days and not a single reply to my support request.,Negative,five business day single reply support request,Positive,0.4019
421,2025-12-16 15:30:00,Product,"The product is advertised as being quiet, but it makes a loud grinding noise.",Negative,product advertised quiet make loud grinding noise,Neutral,0.0
422,2025-12-17 11:15:40,Delivery,I paid for 2-day shipping and it's been over a week.,Negative,paid day shipping week,Neutral,0.0
